nom,prix,unite,reduction
LAY'S Biscuits soufflés 3D's goût nature,2.75,300g,-50% sur le 2ème
LAY'S Chips ondulées recette paysanne nature,3.49,370g,-50% sur le 2ème
LAY'S Chips nature maxi format,3.49,370g,-50% sur le 2ème
OMO Lessive capsules 3en1 essences naturelles rose et lilas blanc,7.91,29 capsules,Aucune réduction
Mangue affinée bateau,0.95,1 pièce,Aucune réduction
KINDER Calendrier de l'Avent chocolat au lait Chalet du Père Noël,8.99,184g,-50% sur le 2ème
KINDER Calendrier de l'Avent chocolats et biscuits,10.19,198g,-50% sur le 2ème
KINDER Calendrier de l'Avent puzzle et assortiment de chocolats,12.59,311g,-50% sur le 2ème
MIR Liquide vaisselle secret de Japon fleur de lotus cerisier,2.21,675.0ml,3 achetés = 2 payés
PUGET Huile d'olive vierge extra zéro résidus de pesticides,9.18,750.0ml,Aucune réduction
SENSEO Dosettes de café classique compostables compatibles Senseo,9.59,416g,-60% sur le 2ème
YOPLAIT Yorik Lait frais fermenté,1.99,1000.0ml,-50% sur le 2ème
PRESIDENT Beurre tendre doux,3.57,250g,-50% sur le 2ème
AUCHAN Beurre doux,4.49,500g,Aucune réduction
AUCHAN Beurre demi-sel,4.49,500g,Aucune réduction
PRESIDENT Crème fraîche épaisse entière 30%MG,2.20,450.0ml,-60% sur le 2ème
BRIDELICE Crème fraiche légère & épaisse 15% MG,1.82,500.0ml,-60% sur le 2ème
ALSACE LAIT Crème fraîche fluide AOP Label Rouge 32% MG,3.76,500.0ml,-50% sur le 2ème
"CALIN Extra - Fromage blanc nature 3,2% MG",2.76,850g,68 % cagnottés sur le 2ème
"CALIN Fromage blanc nature onctueux et doux 3,2%MG",2.10,1000.0g,68 % cagnottés sur le 2ème
YOPLAIT Yaourt en brique à la grecque brassé nature,2.49,750g,Aucune réduction
AUCHAN Yaourt brassé nature,2.16,12x125g,Aucune réduction
CALIN Extra - Fromage blanc nature 0% MG,2.51,850g,68 % cagnottés sur le 2ème
YOPLAIT Skyr sur lit de myrtilles 0% recette islandaise,1.99,4x100g,68 % cagnottés sur le 2ème
YOPLAIT Yaourt en brique brassé à la fraise,1.51,750g,Aucune réduction
YOPLAIT Skyr nature 0% recette islandaise,4.14,850g,68 % cagnottés sur le 2ème
YOPLAIT Skyr saveur vanille 0% recette islandaise,1.99,4x100g,68 % cagnottés sur le 2ème
YOPLAIT Skyr nature 0% recette islandaise,3.51,8x100g,68 % cagnottés sur le 2ème
YOPLAIT Skyr nature 0% recette islandaise,2.69,4x100g,68 % cagnottés sur le 2ème
ISEY Skyr à la framboise et myrtille 0% MG,2.49,400g,-60% sur le 2ème
ISEY Skyr à la noisette,2.49,400g,-60% sur le 2ème
ISEY Skyr tarte myrtille sans lactose 0% MG,2.49,400g,-60% sur le 2ème
DANETTE Crème dessert chocolat,1.25,4x125g,Aucune réduction
DANETTE Crème dessert saveur vanille,1.25,4x125g,Aucune réduction
DANETTE Crème dessert saveur pistache,1.25,4x125g,Aucune réduction
DANETTE Crème dessert café expresso,1.25,4x125g,Aucune réduction
DANETTE Doubles saveurs - Crème dessert caramel salé & chocolat,1.25,4x125g,Aucune réduction
AUCHAN Spécialité panaché pomme/mangue pomme/poire pomme/abricot pomme/fraise sans sucres ajoutés,4.23,16x100g,Aucune réduction
LA LAITIERE Crème brûlée saveur vanille,3.84,4x100g,-50% sur le 2ème
BJORG Boisson végétale avoine bio,2.55,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale au lait d'amande sans sucres bio,2.19,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale épeautre noisette bio sans sucres ajoutés,3.41,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale soja sans sucres bio,2.15,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale à l'amande bio,3.05,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale au lait d'amande vanille calcium bio,3.72,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale noisette bio,3.75,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale soja douceur bio,2.42,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale à l'avoine sans sucres bio,2.95,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale au lait d'amande intense bio,3.51,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale bio soja vanille calcium,3.32,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale riz amande bio,3.40,1000.0ml,60 % cagnottés sur le 2ème
BJORG Boisson végétale coco bio,4.24,1000.0ml,60 % cagnottés sur le 2ème
AUCHAN Meule de Savoie,3.03,200g,Aucune réduction
AUCHAN Tomme des Pyrénées IGP,3.09,200g,Aucune réduction
PRESIDENT Camembert au lait pasteurisé,1.88,250g,-60% sur le 2ème
FROMAGE A LA COUPE Plateau de 5 fromages AOP,6.99,400g,Aucune réduction
MON FROMAGER LA MARCHESA Mozzarella Bufala Campana AOP sachet,4.69,250g,Aucune réduction
