Nom,Prix,Unité,Réduction
Œufs de Plein Air Bio CARREFOUR BIO,5,15 œufs,"2 achetés = 9,9€"
Papier Toilette Confort Extrait Lotus Aqua Tube Rose LOTUS,8,Quantité non disponible,25% d'économies
Barre chocolatée Chocolat au Lait KINDER BUENO,4,Quantité non disponible,le 2ème à -60%
Essuie-tout Classic Blanc CARREFOUR ESSENTIAL,2,Quantité non disponible,le 2ème à -30%
Café en grains Classique 100% arabica GIGA FORMAT CARTE NOIRE,21,2kg,vu en catalogue
"Compotes pomme, fraise, framboise sans sucres ajoutés POM'POTES",6,16x90g,le 2ème à -50%
Jambon cuit au torchon avec couenne FILIERE QUALITE CARREFOUR,5,4 tranches,"2 achetés = 8,9€"
Jambon blanc MADRANGE,7,4 Tranches,30% d'économies
Tablette de chocolat au lait et céréales croustillantes CRUNCH,4,5x 100g,1 acheté = 25% de remise
Crème Epaisse 15% Mat.Gr. BRIDELICE,1,Crème légère,le 2ème à -50%
Whisky scotch Classic Black LABEL 5,17,1L,34% d'économies
Saucisses de Montbéliard IGP REFLETS DE FRANCE,4,2 pièces,le 2ème à -30%
Lait Demi-Ecrémé UHT LACTEL,9,Format Standard,vu en catalogue
Barre chocolatée Céréales Chocolat KINDER COUNTRY,2,Quantité non disponible,le 2ème à -60%
Jambon Le Paris cuit à l'étouffée CARREFOUR CLASSIC',1,4 Tranches,le 2ème à -40%
Biscuit sésame GERBLE,1,4 sachets de 5 biscuits,prenez en 3 = payez en 2
Barre chocolatée Chocolat au Lait KINDER MAXI,3,Quantité non disponible,le 2ème à -60%
Poissons panés Colin d'Alaska MSC façon fish & chips FINDUS,3,4x100g,prenez en 3 = payez en 2
Fromage pour Tartiflette Sans OGM ERMITAGE,6,Grand format,le 2ème à -60%
Bonbons cacahuètes chocolat M&M'S,4,Quantité non disponible,le 2ème à -40%
Boisson lactée chocolat Candy'Up CANDIA,2,Petit Format,le 2ème à -50%
Glace Bâtonnet Amande MAGNUM,5,8 Bâtonnets,le 2ème à -60%
Soda goût Original COCA-COLA,10,le pack de canettes,vu en catalogue
Thon entier Albacore au naturel CARREFOUR CLASSIC',5,3x140g,le 2ème à -30%
Café capsules Compatibles Dolce Gusto espresso intensité 5 NESCAFE DOLCE GUSTO,4,16 capsules,le 2ème à -60%
Plateau charcuterie été PETITGAS,4,Quantité non disponible,promo : 34%
Emmental râpé fondant CARREFOUR CLASSIC',1,200g,"2 achetés = 3,3€"
Eau minérale naturelle VITTEL,3,"8x1,5L",le 2ème à -50%
Crème Uht Fluide Entière 30% Mg ELLE & VIRE,5,Crème entière,le 2ème à -60%
